timestamp,machine_id,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,downtime_risk,maintenance_required
1/1/2025 0:00,39,78.61,28.65,79.96,3.73,2.16,1,0,106,Normal,0,0
1/1/2025 0:01,29,68.19,57.28,35.94,3.64,0.69,1,0,320,Normal,0,0
1/1/2025 0:02,15,98.94,50.2,72.06,1,2.49,1,1,19,Normal,1,1
1/1/2025 0:03,43,90.91,37.65,30.34,3.15,4.96,1,1,10,Normal,1,1
1/1/2025 0:04,8,72.32,40.69,56.71,2.68,0.63,2,0,65,Vibration Issue,0,1
1/1/2025 0:05,21,70.88,38.38,51.01,3.19,3.24,1,0,381,Normal,0,0
1/1/2025 0:06,39,73.05,40.7,61.59,2.35,1.63,1,0,470,Normal,0,0
1/1/2025 0:07,19,90,56.52,48.32,3.3,3.3,1,0,136,Normal,0,0
1/1/2025 0:08,23,96.04,24.98,50.47,1.59,3.08,1,1,38,Normal,1,1
1/1/2025 0:09,11,55.33,49.29,33.85,2.14,3.74,0,0,190,Normal,0,0
1/1/2025 0:10,11,88.37,64.76,45.96,3.92,4.56,1,0,107,Normal,0,0
1/1/2025 0:11,24,72.11,64.04,59.26,4.71,1.32,1,0,328,Normal,0,0
1/1/2025 0:12,36,66.77,64.09,74.44,1.39,1.46,1,0,191,Normal,0,0
1/1/2025 0:13,40,86.18,32.36,55.08,1.42,4.16,2,0,161,Overheating,0,1
1/1/2025 0:14,24,75.82,39.06,43.64,3.53,4.86,1,0,249,Normal,0,0
1/1/2025 0:15,3,88.68,87.77,49.77,1.25,4.45,1,1,38,Normal,1,1
1/1/2025 0:16,22,84.52,28.09,45.96,2.81,3.36,1,0,127,Normal,0,0
1/1/2025 0:17,2,78.32,84.93,51.55,2.59,2.09,1,1,43,Normal,1,1
1/1/2025 0:18,24,91.23,29.83,41.12,4.63,4.97,1,1,34,Normal,1,1
1/1/2025 0:19,44,73.48,51.3,69.85,3.38,3.42,1,0,51,Normal,0,0
1/1/2025 0:20,30,64.03,63.46,65.56,2.02,4.17,1,0,445,Normal,0,0
1/1/2025 0:21,38,94.18,40.98,36.73,2.01,2.28,1,1,34,Normal,1,1
1/1/2025 0:22,2,72.63,54.66,32.72,3.07,2.97,1,0,462,Normal,0,0
1/1/2025 0:23,21,76.73,34.86,32.64,3.31,1.65,2,0,433,Vibration Issue,0,1
1/1/2025 0:24,33,69.38,56.62,68.21,1.52,1.39,1,0,41,Normal,0,0
1/1/2025 0:25,12,76.01,40.21,59.8,4.28,1.63,1,0,181,Normal,0,0
1/1/2025 0:26,22,78.2,67.54,68.1,3.44,2.63,1,0,19,Normal,0,1
1/1/2025 0:27,44,63.88,53.75,68.01,1.87,2.84,1,0,11,Normal,0,1
1/1/2025 0:28,25,64.1,48,51,4.52,4.54,1,0,231,Normal,0,0
1/1/2025 0:29,49,66.17,48.3,74.99,2.21,1.94,2,0,286,Normal,0,1
1/1/2025 0:30,27,73.73,61.02,51.34,1.28,2.8,2,0,468,Pressure Drop,0,1
1/1/2025 0:31,42,79.33,52.54,49.11,2.75,1.23,1,0,324,Normal,0,0
1/1/2025 0:32,28,87.96,53.87,68.93,1.79,3.69,1,0,433,Normal,0,0
1/1/2025 0:33,16,99.5,46.89,79.74,4.41,3.67,1,1,41,Normal,1,1
1/1/2025 0:34,15,76.8,55.46,33.91,2.52,3.22,1,0,148,Normal,0,0
1/1/2025 0:35,47,70.49,59.54,65.34,3.1,1.88,0,0,426,Normal,0,0
1/1/2025 0:36,44,51.2,51.25,68.35,1.05,2.27,1,0,214,Normal,0,0
1/1/2025 0:37,3,77.59,58.72,62.55,3.4,0.88,1,0,138,Normal,0,0
1/1/2025 0:38,37,73.3,27.21,56.6,3.31,2.54,1,0,172,Normal,0,0
1/1/2025 0:39,7,71.43,22.92,36.7,2.2,1.1,1,0,245,Normal,0,0
1/1/2025 0:40,21,68.43,57.68,51.61,2.53,2.87,0,0,21,Normal,0,0
1/1/2025 0:41,9,68.74,43.34,30.73,2.26,1.41,1,0,136,Normal,0,0
1/1/2025 0:42,39,78.29,39.54,36.67,3.31,4.44,1,0,298,Normal,0,0
1/1/2025 0:43,18,81.42,50.89,31.1,4.88,2.06,2,0,482,Overheating,0,1
1/1/2025 0:44,4,74.74,67.02,62.18,1.47,3.16,1,0,182,Normal,0,0
1/1/2025 0:45,25,82.87,43.56,40.24,3.88,3.89,1,0,290,Normal,0,0
1/1/2025 0:46,14,87.87,53.7,61.73,1.05,4.29,1,0,274,Normal,0,0
1/1/2025 0:47,50,74.07,40.16,48.02,3.59,1.15,1,0,84,Normal,0,0
1/1/2025 0:48,9,87.23,34.52,69.53,2.84,4.15,1,0,252,Normal,0,0
1/1/2025 0:49,26,65.48,52.79,79.91,4.7,4.19,1,0,52,Normal,0,0
1/1/2025 0:50,2,77.9,25.44,75.39,4.32,2.15,1,0,215,Normal,0,0
1/1/2025 0:51,20,71.17,28.69,37.5,1.97,2.13,1,0,62,Normal,0,0
1/1/2025 0:52,28,79.91,34.26,30.48,4.77,2.29,1,0,94,Normal,0,0
